"Date","Price","Open","High","Low","Change %"
"Feb 12, 2014","117.86","118.27","118.57","117.64","-0.40%"
"Feb 13, 2014","117.21","117.81","118.36","116.94","-0.56%"
"Feb 14, 2014","116.16","117.09","117.48","115.64","-0.89%"
"Feb 17, 2014","115.63","116.10","116.71","114.50","-0.46%"
"Feb 18, 2014","115.61","115.45","116.38","115.05","-0.02%"
"Feb 19, 2014","115.03","115.46","116.29","114.56","-0.51%"
"Feb 20, 2014","115.51","114.96","116.40","114.85","0.42%"
"Feb 21, 2014","114.50","115.35","115.43","114.10","-0.87%"
"Feb 24, 2014","113.61","114.43","114.68","113.42","-0.78%"
"Feb 25, 2014","114.12","113.54","114.39","112.71","0.44%"
"Feb 26, 2014","113.70","114.03","114.24","113.37","-0.37%"
"Feb 27, 2014","114.22","113.63","114.69","113.58","0.46%"
"Feb 28, 2014","114.04","114.17","114.61","113.42","-0.16%"
"Mar 03, 2014","114.24","114.26","114.75","113.78","0.18%"
"Mar 04, 2014","113.44","114.18","114.91","113.28","-0.70%"
"Mar 05, 2014","113.21","113.37","113.47","112.89","-0.20%"
"Mar 06, 2014","111.31","113.16","113.31","111.11","-1.69%"
"Mar 07, 2014","110.76","111.22","111.39","110.19","-0.49%"
"Mar 10, 2014","110.06","111.04","111.26","109.82","-0.64%"
"Mar 11, 2014","110.61","109.98","110.80","109.72","0.50%"
"Mar 12, 2014","111.18","110.53","111.51","110.53","0.52%"
"Mar 13, 2014","111.76","111.11","112.10","110.32","0.53%"
"Mar 14, 2014","112.04","111.72","112.46","111.47","0.24%"
"Mar 17, 2014","110.96","112.00","112.14","110.70","-0.96%"
"Mar 18, 2014","111.58","110.93","111.87","110.54","0.55%"
"Mar 19, 2014","110.54","111.46","111.93","110.11","-0.93%"
"Mar 20, 2014","111.77","110.50","112.00","110.29","1.11%"
"Mar 21, 2014","111.69","111.69","112.18","111.49","-0.07%"
"Mar 24, 2014","111.31","111.70","111.90","110.78","-0.35%"
"Mar 25, 2014","111.41","111.23","111.53","110.85","0.09%"
"Mar 26, 2014","111.81","111.37","112.01","111.05","0.36%"
"Mar 27, 2014","112.03","111.75","112.33","111.68","0.19%"
"Mar 28, 2014","110.47","111.98","112.23","110.23","-1.39%"
"Mar 31, 2014","110.07","110.42","110.54","109.74","-0.37%"
"Apr 01, 2014","109.15","109.99","110.17","108.87","-0.83%"
"Apr 02, 2014","108.71","109.09","109.21","108.65","-0.40%"
"Apr 03, 2014","108.93","108.67","109.06","108.50","0.21%"
"Apr 04, 2014","109.57","108.90","109.65","108.65","0.58%"
"Apr 07, 2014","109.64","109.55","109.76","109.04","0.07%"
"Apr 08, 2014","110.87","109.62","111.18","109.56","1.12%"
"Apr 09, 2014","110.69","110.85","110.98","110.44","-0.16%"
"Apr 10, 2014","111.82","110.64","112.07","110.45","1.03%"
"Apr 11, 2014","112.31","111.77","112.89","111.71","0.43%"
"Apr 14, 2014","112.32","112.13","112.86","112.07","0.02%"
"Apr 15, 2014","112.14","112.25","112.63","111.91","-0.17%"
"Apr 16, 2014","111.85","112.05","112.25","111.60","-0.26%"
"Apr 17, 2014","111.53","111.80","112.14","111.38","-0.28%"
"Apr 18, 2014","111.50","111.45","111.58","111.26","-0.02%"
"Apr 21, 2014","111.53","111.37","111.66","111.18","0.02%"
"Apr 22, 2014","112.26","111.46","112.49","111.33","0.65%"
"Apr 23, 2014","113.42","112.20","113.84","112.09","1.03%"
"Apr 24, 2014","113.37","113.35","113.68","112.93","-0.04%"
"Apr 25, 2014","113.19","113.30","113.52","112.81","-0.16%"
"Apr 28, 2014","112.97","113.13","113.46","112.77","-0.19%"
"Apr 29, 2014","112.51","112.89","113.11","112.31","-0.41%"
"Apr 30, 2014","113.06","112.46","113.33","112.21","0.49%"
"May 01, 2014","112.97","113.03","113.21","112.88","-0.08%"
"May 02, 2014","112.76","112.94","113.06","111.79","-0.19%"
"May 05, 2014","112.76","112.73","113.21","112.56","0.00%"
"May 06, 2014","113.26","112.70","113.49","112.52","0.44%"
"May 07, 2014","113.57","113.23","114.04","113.11","0.27%"
"May 08, 2014","113.71","113.51","114.28","113.38","0.12%"
"May 09, 2014","113.19","113.65","113.87","113.12","-0.46%"
"May 12, 2014","112.82","113.20","113.29","112.66","-0.33%"
"May 13, 2014","112.82","112.73","113.04","112.58","0.00%"
"May 14, 2014","112.33","112.79","112.95","112.01","-0.43%"
"May 15, 2014","112.68","112.27","112.98","112.04","0.31%"
"May 16, 2014","112.42","112.67","112.86","112.10","-0.24%"
"May 19, 2014","112.47","112.30","112.94","111.59","0.05%"
"May 20, 2014","113.37","112.42","113.53","112.41","0.80%"
"May 21, 2014","113.51","113.33","114.26","113.19","0.13%"
"May 22, 2014","113.34","113.51","113.64","113.19","-0.15%"
"May 23, 2014","113.86","113.30","114.15","113.13","0.46%"
"May 26, 2014","113.56","113.82","114.14","113.44","-0.27%"
"May 27, 2014","113.51","113.50","113.82","113.29","-0.04%"
"May 28, 2014","114.19","113.48","114.43","113.41","0.60%"
"May 29, 2014","114.25","114.13","114.67","114.09","0.04%"
"May 30, 2014","114.71","114.21","114.90","114.05","0.40%"
"Jun 02, 2014","114.91","114.58","115.68","114.39","0.18%"
"Jun 03, 2014","114.95","114.85","115.52","114.75","0.03%"
"Jun 04, 2014","115.72","114.89","116.07","114.71","0.67%"
"Jun 05, 2014","115.78","115.64","116.07","115.32","0.04%"
"Jun 06, 2014","115.48","115.68","115.90","115.10","-0.25%"
"Jun 09, 2014","114.85","115.36","115.49","114.66","-0.55%"
"Jun 10, 2014","115.39","114.81","115.54","114.75","0.47%"
"Jun 11, 2014","115.69","115.33","115.96","114.85","0.27%"
"Jun 12, 2014","115.88","115.61","116.03","115.36","0.16%"
"Jun 13, 2014","115.56","115.83","115.99","115.39","-0.28%"
"Jun 16, 2014","116.04","115.44","116.18","115.44","0.42%"
"Jun 17, 2014","116.43","116.02","116.70","115.81","0.34%"
"Jun 18, 2014","117.70","116.40","117.75","116.28","1.09%"
"Jun 19, 2014","117.07","117.67","117.81","116.56","-0.53%"
"Jun 20, 2014","117.28","117.00","117.59","116.96","0.18%"
"Jun 23, 2014","117.61","117.18","117.78","117.03","0.28%"
"Jun 24, 2014","117.55","117.55","117.81","117.27","-0.05%"
"Jun 25, 2014","118.68","117.50","118.97","117.49","0.96%"
"Jun 26, 2014","118.93","118.61","119.21","118.59","0.21%"
"Jun 27, 2014","118.32","118.90","119.46","118.12","-0.50%"
"Jun 30, 2014","117.00","118.21","118.60","116.51","-1.12%"
"Jul 01, 2014","116.77","116.86","117.29","115.84","-0.20%"
"Jul 02, 2014","117.00","116.67","117.56","116.08","0.20%"
"Jul 03, 2014","116.63","116.97","117.49","116.48","-0.32%"
"Jul 04, 2014","116.26","116.59","116.72","116.08","-0.31%"
"Jul 07, 2014","114.88","116.33","116.42","114.31","-1.19%"
"Jul 08, 2014","114.44","114.79","115.11","113.88","-0.38%"
"Jul 09, 2014","114.38","114.38","114.60","114.04","-0.05%"
"Jul 10, 2014","114.22","114.29","114.55","113.22","-0.14%"
"Jul 11, 2014","114.27","114.15","114.82","114.08","0.04%"
"Jul 14, 2014","114.84","114.18","115.03","114.14","0.50%"
"Jul 15, 2014","115.40","114.81","115.68","114.58","0.49%"
"Jul 16, 2014","115.02","115.33","116.30","114.81","-0.33%"
"Jul 17, 2014","115.50","114.97","115.54","114.37","0.41%"
"Jul 18, 2014","114.62","115.42","115.83","114.30","-0.76%"
"Jul 21, 2014","114.10","114.50","114.65","114.04","-0.45%"
"Jul 22, 2014","114.38","114.07","114.64","113.22","0.24%"
"Jul 23, 2014","113.32","114.21","114.29","113.09","-0.93%"
"Jul 24, 2014","113.61","113.24","113.94","113.14","0.26%"
"Jul 25, 2014","113.68","113.57","114.13","113.31","0.07%"
"Jul 28, 2014","113.67","113.71","113.79","113.56","-0.02%"
"Jul 29, 2014","113.36","113.64","113.72","113.27","-0.27%"
"Jul 30, 2014","112.63","113.31","113.48","112.26","-0.64%"
"Jul 31, 2014","112.63","112.59","112.70","112.35","0.00%"
"Aug 01, 2014","114.97","112.59","115.32","112.42","2.08%"
"Aug 04, 2014","114.61","114.79","114.96","114.05","-0.32%"
"Aug 05, 2014","114.01","114.59","114.64","113.60","-0.51%"
"Aug 06, 2014","115.07","113.96","115.45","113.91","0.93%"
"Aug 07, 2014","115.53","115.01","115.67","114.85","0.40%"
"Aug 08, 2014","115.39","115.45","116.56","115.27","-0.12%"
"Aug 11, 2014","114.19","115.31","115.39","114.07","-1.04%"
"Aug 12, 2014","114.29","114.12","114.49","113.87","0.09%"
"Aug 13, 2014","114.14","114.26","114.38","113.96","-0.14%"
"Aug 14, 2014","113.94","114.09","114.19","113.52","-0.17%"
"Aug 15, 2014","114.06","113.90","114.32","113.59","0.11%"
"Aug 18, 2014","113.92","114.13","114.29","113.84","-0.13%"
"Aug 19, 2014","113.50","113.89","113.93","113.43","-0.37%"
"Aug 20, 2014","112.76","113.46","113.82","112.62","-0.64%"
"Aug 21, 2014","112.58","112.73","113.11","112.44","-0.16%"
"Aug 22, 2014","112.35","112.49","112.85","111.85","-0.21%"
"Aug 25, 2014","112.61","111.81","112.83","111.75","0.24%"
"Aug 26, 2014","112.55","112.58","112.93","112.40","-0.06%"
"Aug 27, 2014","112.47","112.51","112.63","112.28","-0.07%"
"Aug 28, 2014","112.81","112.43","113.00","112.35","0.30%"
"Aug 29, 2014","112.32","112.76","113.14","112.20","-0.43%"
"Sep 01, 2014","112.26","112.27","112.52","112.09","-0.06%"
"Sep 02, 2014","111.80","112.26","112.34","111.60","-0.41%"
"Sep 03, 2014","112.25","111.75","112.42","111.54","0.41%"
"Sep 04, 2014","111.75","112.21","112.31","111.60","-0.45%"
"Sep 05, 2014","111.85","111.74","112.31","111.26","0.09%"
"Sep 08, 2014","110.63","111.81","112.01","110.51","-1.09%"
"Sep 09, 2014","110.80","110.59","110.97","110.42","0.16%"
"Sep 10, 2014","110.56","110.76","111.04","110.44","-0.22%"
"Sep 11, 2014","110.40","110.48","111.02","110.24","-0.14%"
"Sep 12, 2014","110.13","110.34","110.53","110.01","-0.25%"
"Sep 15, 2014","111.29","110.17","111.47","110.05","1.06%"
"Sep 16, 2014","111.69","111.25","112.01","110.97","0.36%"
"Sep 17, 2014","110.29","111.61","111.74","110.23","-1.25%"
"Sep 18, 2014","110.21","110.24","110.99","109.87","-0.08%"
"Sep 19, 2014","109.75","110.19","110.28","109.47","-0.41%"
"Sep 22, 2014","110.00","109.71","110.11","109.56","0.23%"
"Sep 23, 2014","109.94","109.98","110.68","109.80","-0.05%"
"Sep 24, 2014","109.63","109.92","110.38","109.45","-0.29%"
"Sep 25, 2014","110.14","109.57","110.39","109.25","0.47%"
"Sep 26, 2014","110.01","110.10","110.55","109.71","-0.12%"
"Sep 29, 2014","111.16","110.06","111.53","109.70","1.05%"
"Sep 30, 2014","111.12","111.11","111.77","110.85","-0.04%"
"Oct 01, 2014","111.37","111.07","111.41","110.22","0.22%"
"Oct 02, 2014","112.06","111.32","112.49","111.08","0.62%"
