Date,Price,Open,High,Low
2015-12-09,114.24,112.81,114.58,112.68
2015-12-10,114.6,114.17,114.98,113.9
2015-12-11,115.39,114.54,115.67,113.87
2015-12-14,116.31,115.19,116.98,115.04
2015-12-15,115.52,116.26,116.62,115.38
2015-12-16,115.12,115.49,115.86,114.86
2015-12-17,114.28,115.07,115.11,113.95
2015-12-18,114.81,114.26,114.98,113.34
2015-12-21,113.64,114.74,115.0,113.04
2015-12-22,112.94,113.52,113.71,111.57
2015-12-23,112.81,112.89,113.06,112.36
2015-12-24,113.28,112.79,113.46,112.71
2015-12-25,113.29,113.2,113.65,113.2
2015-12-28,113.36,113.37,113.57,112.85
2015-12-29,114.1,113.3,114.26,113.22
2015-12-30,114.36,114.05,114.79,113.8
2015-12-31,114.59,114.32,114.9,114.25
2016-01-01,114.58,114.55,114.64,114.54
2016-01-04,116.5,114.56,117.24,114.47
2016-01-05,116.43,116.44,117.19,115.32
2016-01-06,117.72,116.34,117.96,115.9
2016-01-07,118.35,117.69,118.72,117.1
2016-01-08,118.54,118.33,118.54,116.81
2016-01-11,117.85,118.49,119.34,117.49
2016-01-12,118.24,117.76,118.65,117.14
2016-01-13,117.5,118.16,118.28,116.72
2016-01-14,117.83,117.41,118.98,117.01
2016-01-15,118.69,117.77,119.27,116.74
2016-01-18,118.73,118.71,119.19,118.5
2016-01-19,117.99,118.71,118.82,117.29
2016-01-20,119.38,117.93,120.38,117.87
2016-01-21,118.17,119.31,119.57,118.02
2016-01-22,116.6,118.11,118.26,116.44
2016-01-25,117.27,116.68,117.39,116.4
2016-01-26,117.38,117.22,118.31,117.12
2016-01-27,116.94,117.32,117.64,116.5
2016-01-28,116.76,116.91,117.29,116.49
2016-01-29,113.79,116.7,116.89,113.14
2016-02-01,112.72,113.72,113.79,111.82
2016-02-02,114.1,112.68,114.21,112.51
2016-02-03,116.75,114.01,117.61,113.98
2016-02-04,116.79,116.59,117.04,115.44
2016-02-05,116.56,116.75,117.18,115.96
2016-02-08,117.61,116.48,118.28,115.87
2016-02-09,118.18,117.57,119.72,117.54
2016-02-10,118.78,118.14,119.01,116.83
2016-02-11,119.75,118.74,121.24,118.21
2016-02-12,119.14,119.72,120.71,118.75
2016-02-15,116.74,119.06,119.29,116.51
2016-02-16,117.47,116.69,117.96,115.88
2016-02-17,118.4,117.43,119.08,117.06
2016-02-18,119.17,118.34,119.28,117.84
2016-02-19,119.88,119.11,120.33,118.95
2016-02-22,119.0,119.76,120.07,118.46
2016-02-23,119.74,118.99,120.12,118.79
2016-02-24,119.56,119.69,120.79,119.42
2016-02-25,118.68,119.48,119.96,118.58
2016-02-26,117.28,118.63,118.95,117.23
2016-02-29,118.67,117.37,118.78,117.23
2016-03-01,117.1,118.61,119.18,116.85
2016-03-02,117.13,117.03,117.4,115.94
2016-03-03,116.42,117.04,117.16,115.89
2016-03-04,115.46,116.36,116.89,114.87
2016-03-07,115.37,115.35,115.64,113.92
2016-03-08,116.71,115.31,116.9,115.24
2016-03-09,115.89,116.64,117.11,115.78
2016-03-10,115.5,115.83,116.14,114.17
2016-03-11,114.83,115.46,115.93,114.66
2016-03-14,114.74,114.73,115.07,113.83
2016-03-15,116.43,114.68,117.0,114.55
2016-03-16,117.84,116.42,118.12,115.73
2016-03-17,117.57,117.81,118.33,116.2
2016-03-18,117.57,117.49,117.99,117.12
2016-03-21,117.32,117.61,118.44,117.23
2016-03-22,117.29,117.27,118.33,116.98
2016-03-23,117.25,117.23,117.61,116.65
2016-03-24,117.38,117.22,117.93,116.56
2016-03-25,117.21,117.32,117.57,116.89
2016-03-28,117.82,117.12,118.16,116.65
2016-03-29,118.88,117.78,118.99,117.4
2016-03-30,118.01,118.86,119.19,117.69
2016-03-31,117.79,117.97,118.46,117.6
2016-04-01,117.85,117.74,118.18,116.94
2016-04-04,118.26,117.73,118.53,117.62
2016-04-05,119.78,118.24,120.21,118.2
2016-04-06,120.43,119.77,120.93,119.17
2016-04-07,121.61,120.39,122.19,120.21
2016-04-08,121.63,121.55,121.75,120.41
2016-04-11,121.61,121.58,122.03,121.01
2016-04-12,120.81,121.57,121.69,120.49
2016-04-13,120.36,120.78,121.21,120.11
2016-04-14,120.45,120.29,121.19,120.1
2016-04-15,121.14,120.35,121.33,119.85
2016-04-18,121.07,121.66,122.46,120.8
2016-04-19,120.39,121.01,121.14,120.02
2016-04-20,119.63,120.35,120.9,119.53
2016-04-21,120.21,119.53,120.36,119.51
2016-04-22,118.06,120.16,120.57,117.97
2016-04-25,118.68,118.23,119.15,117.88
